time,mrid,battery,phases,p_a,p_b,p_c,soc
1672591800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-8.799566983,-8.799566983,-8.799566983,20.01962712211528
1672591800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-8.030519124,-8.030519124,-8.030519124,20.022067837056817
1672592400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,0.240281788,0.240281788,0.240281788,19.96652599633231
1672592400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.0,-0.0,0.0,20.83080827907007
1672592400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.06912536,0.06912536,0.06912536,19.991759449763354
1672592400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,19.91391374660029
1672592400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-0.0,0.0,0.0,19.92555666972839
1672593000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,0.334740037,0.334740037,0.334740037,19.987657663688214
1672593000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.0,-0.0,0.0,20.83080827907007
1672593000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.043949601,0.043949601,0.043949601,19.99742753348495
1672593000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,0.573908356,0.573908356,0.573908356,19.964165511928204
